Linux 6.14.0-29-generic (maimanh-ROG-Strix-G531GD-G531GD) 	09/19/2025 	_x86_64_	(8 CPU)

11:20:33 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:20:34 AM    33    156270    0.00    0.00    0.00    0.00    0.00     3  nginx
11:20:35 AM    33    156270    0.00    0.00    0.00    0.00    0.00     3  nginx
11:20:36 AM    33    156270    0.00    0.00    0.00    0.00    0.00     3  nginx
11:20:37 AM    33    156270    5.00   10.00    0.00    2.00   15.00     3  nginx
11:20:38 AM    33    156270   10.00   16.00    0.00    6.00   26.00     3  nginx
11:20:39 AM    33    156270   12.00   21.00    0.00    2.00   33.00     3  nginx
11:20:40 AM    33    156270   14.00   26.00    0.00    2.00   40.00     3  nginx
11:20:41 AM    33    156270   15.00   24.00    0.00    3.00   39.00     3  nginx
11:20:42 AM    33    156270   16.00   27.00    0.00    0.00   43.00     3  nginx
11:20:43 AM    33    156270   13.00   25.00    0.00    0.00   38.00     3  nginx
11:20:44 AM    33    156270   14.00   24.00    0.00    1.00   38.00     3  nginx
11:20:45 AM    33    156270   14.00   24.00    0.00    0.00   38.00     3  nginx
11:20:46 AM    33    156270   15.00   26.00    0.00    1.00   41.00     3  nginx
11:20:47 AM    33    156270   13.00   28.00    0.00    1.00   41.00     3  nginx
11:20:48 AM    33    156270   16.00   26.00    0.00    1.00   42.00     3  nginx
11:20:49 AM    33    156270   14.00   26.00    0.00    3.00   40.00     3  nginx
11:20:50 AM    33    156270   14.00   28.00    0.00    0.00   42.00     3  nginx
11:20:51 AM    33    156270   16.00   27.00    0.00    1.00   43.00     3  nginx
11:20:52 AM    33    156270   12.00   28.00    0.00    2.00   40.00     3  nginx
11:20:53 AM    33    156270   14.85   27.72    0.00    0.99   42.57     3  nginx
11:20:54 AM    33    156270   13.00   28.00    0.00    2.00   41.00     3  nginx
11:20:55 AM    33    156270   14.00   27.00    0.00    2.00   41.00     3  nginx
11:20:56 AM    33    156270   10.00   16.00    0.00    0.00   26.00     3  nginx
11:20:57 AM    33    156270    0.00    0.00    0.00    0.00    0.00     3  nginx
